metric,N,p,mean,std,n,halfwidth,lower,upper
rA_demo,25.0,0.1,0.9008283133515165,0.5178686642582319,41,0.16345951974886552,0.737368793602651,1.064287833100382
rA_demo,25.0,0.25,0.8809964379342371,0.4304436296746464,33,0.152628674402685,0.7283677635315521,1.033625112336922
rA_demo,25.0,0.5,0.8507049078750467,0.5050926040693813,36,0.1708987500036437,0.679806157871403,1.0216036578786905
rA_demo,25.0,0.75,1.0624041536773072,0.5483895595318226,40,0.17538348967258524,0.887020664004722,1.2377876433498924
rA_demo,25.0,1.0,0.9646703909245715,0.4203986115541452,39,0.13627746493516388,0.8283929259894076,1.1009478558597354
rA_demo,50.0,0.1,0.7170084503502654,0.4450701995183826,45,0.13371389085459187,0.5832945594956735,0.8507223412048572
rA_demo,50.0,0.25,0.890437094377981,0.5474910291563672,29,0.2082544498372526,0.6821826445407284,1.0986915442152336
rA_demo,50.0,0.5,1.3100896744764667,0.5582152905920074,13,0.3373261240611931,0.9727635504152736,1.6474157985376598
rA_demo,50.0,0.75,1.1668888888888886,0.4417152713597085,15,0.24461376390622333,0.9222751249826653,1.411502652795112
rA_demo,50.0,1.0,0.9156514192578795,0.49848663131587057,34,0.17393020818482224,0.7417212110730573,1.0895816274427017
rA_demo,100.0,0.1,0.65,0.3535533905932738,2,3.1765511841080234,-2.5265511841080235,3.8265511841080233
rA_demo,100.0,0.25,0.7557575757575757,0.476071683808092,30,0.17776808827070328,0.5779894874868725,0.933525664028279
rA_demo,100.0,0.5,1.0751748251748252,0.5127631044365963,26,0.20710950001298073,0.8680653251618444,1.282284325187806
rA_demo,100.0,0.75,1.1876830318690783,0.4496595572242222,12,0.28570005227765993,0.9019829795914184,1.4733830841467381
rA_demo,100.0,1.0,0.9865656748911465,0.5461373152460255,8,0.45658222162835843,0.5299834532627881,1.443147896519505
rA_prom,25.0,0.1,1.5600364709037278,1.2017672689251468,50,0.3415384788662179,1.2184979920375099,1.9015749497699457
rA_prom,25.0,0.25,2.04141988878831,1.7816086743597401,50,0.506327582976954,1.535092305811356,2.547747471765264
rA_prom,25.0,0.5,1.9919119528619529,1.4059585054286254,50,0.3995689862002915,1.5923429666616613,2.3914809390622445
rA_prom,25.0,0.75,1.9564310828917513,1.329611824033869,50,0.37787149942036735,1.578559583471384,2.3343025823121186
rA_prom,25.0,1.0,2.1882511227902532,1.5021736248473387,50,0.42691302059023595,1.7613381022000172,2.6151641433804893
rA_prom,50.0,0.1,1.1483360663462445,0.9892188566146359,50,0.2811328884469609,0.8672031778992837,1.4294689547932053
rA_prom,50.0,0.25,2.6767142857142856,2.064383106509236,50,0.5866911874084314,2.090023098305854,3.263405473122717
rA_prom,50.0,0.5,5.575796495956873,2.8241162005968103,50,0.8026049437641615,4.773191552192712,6.378401439721035
rA_prom,50.0,0.75,15.420102040816328,8.958192988904582,49,2.5730934555710365,12.847008585245291,17.993195496387365
rA_prom,50.0,1.0,5.112191147894926,4.319861719177566,50,1.2276911167666422,3.8845000311282836,6.3398822646615685
rA_prom,100.0,0.1,26.788888888888888,7.980264117472265,27,3.1568873441678367,23.63200154472105,29.945776233056726
rA_prom,100.0,0.25,14.341233766233767,8.569927886034835,42,2.670577528866003,11.670656237367764,17.01181129509977
rA_prom,100.0,0.5,19.81756756756757,9.494174314608093,37,3.1655153190363547,16.652052248531213,22.983082886603924
rA_prom,100.0,0.75,23.028940568475452,7.05126534716371,45,2.1184346335425044,20.91050593493295,25.147375202017955
rA_prom,100.0,1.0,32.66153846153846,6.331325333085702,2,56.88470120464214,-24.22316274310368,89.54623966618061
